text,disease,location
India moves closer to dengue vaccine as final trials underway - The Japan Times,dengue,India
"Chronic exposure to air pollution can influence dengue severity, study finds - Mongabay-India",dengue,Mongabay
"Dengue Fever: More Than 45,000 Cases Reported In India; How To Stay Safe - NDTV",dengue,India
India's Dengue Risk Remains Concerning for International Travelers - Vax-Before-Travel,dengue,India
Strengthening Entomology for Effective Dengue Control in India - orfonline.org,dengue,India
"Association of intermediate monocytes with dengue severity among the pediatric population of Odisha, India - Nature",dengue,Odisha
"Association of intermediate monocytes with dengue severity among the pediatric population of Odisha, India - Nature",dengue,India
India's Dengue Vaccine Candidate Advancing to Approval - Vax-Before-Travel,dengue,India
India Close To Dengue Vaccine: All About The Phase 3 Trials And More - NDTV,dengue,India
Warming temperature and humidity expand dengueâ€™s reach - Mongabay-India,dengue,Mongabay
Dengue tightens its grip on Delhi; pan-India cases up 5x - The Times of India,dengue,Delhi
"Dengue risk in India is rising. Hard-hit communities like this one are bracing for impact - Gavi, the Vaccine Alliance",dengue,India
"Low Vitamin D may worsen Dengue outcomes, global study raises questions for India - The Times of India",dengue,India
Comparative estimation of the spread of acute diarrhea and dengue in India using statistical mathematical and deep learning models - Nature,dengue,India
Comparative estimation of the spread of acute diarrhea and dengue in India using statistical mathematical and deep learning models - Nature,diarrhea,India
India sounds the alarm as dengue cases surge. What's driving the spike? - indiatoday.in,dengue,India
Wolbachia mosquito dengue control: A 72% risk reduction - OC Academy,dengue,Wolbachia
New AI model could predict the next dengue outbreak from weather forecasts - Research Matters,dengue,New AI
Indiaâ€™s first dengue vaccine has been in the making for 17 yrs. DengiAll has the world excited - ThePrint,dengue,DengiAll
"DengiAll, India's First Dengue Vaccine Clears Phase III Trials, May Soon Enter Markets - Health and Me",dengue,DengiAll
"DengiAll, India's First Dengue Vaccine Clears Phase III Trials, May Soon Enter Markets - Health and Me",dengue,India
"Dengue cases spike in Kol, dip in BMC areas - The Times of India",dengue,Kol
"Dengue: India reports 49,573 cases, 42 deaths till Aug; govt rolls out 8-pillar strategy to curb - The News Minute",dengue,India
Dengue crisis brewing in India: Are we prepared for whatâ€™s coming? - Healthcare Radius,dengue,India
"Dengue Spike In Mumbai, Kolkata, Other Cities: What's Driving It & How To Stay Safe - NDTV",dengue,Mumbai
"Dengue Spike In Mumbai, Kolkata, Other Cities: What's Driving It & How To Stay Safe - NDTV",dengue,Kolkata
Union Health Minister Shri J P Nadda Chairs High-Level Review Meeting on Dengue Preparedness in Delhi and NCR - PIB,dengue,Delhi
"Over 19 Dengue deaths, 13K cases reported this year in India - newindianexpress.com",dengue,India
"Incidence and Outcome of Dengue Fever During Pre-monsoon, Monsoon, and Post-monsoon Periods: A Cross-Sectional Study From a Tertiary Care Hospital in India - Cureus",dengue,Monsoon
"Incidence and Outcome of Dengue Fever During Pre-monsoon, Monsoon, and Post-monsoon Periods: A Cross-Sectional Study From a Tertiary Care Hospital in India - Cureus",dengue,India
"Dengue: TN records 15,796 cases this year, highest in India - The Federal",dengue,India
Climate Change could increase dengue cases in India by 76% by 2050: Study - Medical Dialogues,dengue,India
"Dengue cases in Manipur cross 3,300 mark; Imphal West remains worst hit - indiatoday.in",dengue,Manipur
"Dengue stings Ludhiana, total nears 450. - The Times of India",dengue,Ludhiana
Dengue cases on rise in Delhi; MCD steps up its drive amid rain surge - The Hindu,dengue,Delhi
"Dengue cases surge past 430 in Noida, 110 of them seen in 2 weeks - The Times of India",dengue,Noida
"Dengue cases rise sharply in Karnataka, TN and Maharashtra - Healthcare Radius",dengue,Karnataka
"AAP, BJP Play Blame Game Over Rising Dengue, Malaria Cases In Delhi - NDTV",dengue,Delhi
"AAP, BJP Play Blame Game Over Rising Dengue, Malaria Cases In Delhi - NDTV",malaria,Delhi
India to Offer Dengue Vaccinations in 2026 - Vax-Before-Travel,dengue,India
Malaria Dengue Prevention: India Strengthens Vector Control - OC Academy,dengue,India
Malaria Dengue Prevention: India Strengthens Vector Control - OC Academy,malaria,India
Elimination of Malaria in India - INSIGHTS IAS,malaria,Malaria
Elimination of Malaria in India - INSIGHTS IAS,malaria,India
"Dengue, chikungunya cases in Mumbai see 500% spike in a month - The Times of India",dengue,Mumbai
"All about world's first single-dose dengue vaccine, approved in Brazil - indiatoday.in",dengue,Brazil
Brazil Approves Groundbreaking Single-Dose Dengue Vaccine - India News Network,dengue,Brazil
Union Health Minister JP Nadda Reviews Dengue Preparedness in Delhi-NCR Amid Rain Concerns - News On AIR,dengue,Delhi
"Dengue cases in India: More than 49,000 cases, 42 deaths reported; measures to keep yourself protected - India TV News",dengue,India
"World Mosquito Day: â€˜Rise in dengue cases fuelled by climate change, globalisationâ€™ - The Times of India",dengue,globalisationâ€
India ramps up fight against dengue and malaria outbreaks; Union Health Ministry issues directives urging - The Times of India,dengue,India
India ramps up fight against dengue and malaria outbreaks; Union Health Ministry issues directives urging - The Times of India,malaria,India
"As the monsoon peaks in India, how close are we to a vaccine breakthrough for dengue and malaria? - ET Edge - ET Edge Insights",dengue,India
"As the monsoon peaks in India, how close are we to a vaccine breakthrough for dengue and malaria? - ET Edge - ET Edge Insights",malaria,India
India Sounds Alarm as Dengue Cases Surge: Whatâ€™s Behind the Spike? - timesnownews.com,dengue,India
Dengue cases surge in Bengaluru: Know the symptoms before itâ€™s too late - India TV News,dengue,Bengaluru
